Latitude,Longitude,Elevation
45.94783070,6.194272200,683.59997
45.94786220,6.194289900,684.0
45.94789070,6.194306800,684.59997
45.94791930,6.194328500,685.0
45.94797670,6.194367300,685.0
45.94815220,6.194473200,685.0
45.94829750,6.194563800,685.40002
45.94832630,6.194578600,685.79998
45.94835600,6.194594200,686.59997
45.94838810,6.194615200,687.0
45.94859150,6.194745400,687.0
45.94873970,6.194837100,687.40002
45.94877190,6.194855300,687.79998
45.94880230,6.194873300,688.40002
45.94883050,6.194890700,688.79998
45.94885730,6.194910300,689.20001
45.94897260,6.194978700,689.20001
45.94915480,6.195084100,689.20001
45.94918570,6.195102000,689.59997
45.94921650,6.195123900,690.0
45.94924660,6.195142700,690.40002
45.94927580,6.195161300,690.79998
45.94930380,6.195181200,691.40002
45.94939400,6.195231200,691.40002
45.94960020,6.195368900,691.40002
45.94969470,6.195429700,691.79998
45.94972490,6.195448400,692.20001
45.94975600,6.195465400,692.59997
45.94978620,6.195483400,693.0
45.94981780,6.195502300,693.40002
45.94987980,6.195537300,693.40002
45.95008340,6.195668000,693.40002
45.95014600,6.195706600,693.79998
45.95017700,6.195724200,694.20001
45.95020940,6.195743100,694.59997
45.95023950,6.195759500,695.0
45.95026290,6.195778600,695.40002
45.95031310,6.195811600,695.40002
45.95047970,6.195925400,695.40002
45.95056240,6.195971700,695.79998
45.95058780,6.195988600,696.20001
45.95061730,6.196007200,696.59997
45.95064910,6.196028000,697.0
45.95068020,6.196051200,697.59997
45.95079720,6.196131500,697.59997
45.95088090,6.196184700,697.59997
45.95100050,6.196266900,697.59997
45.95103700,6.196289600,698.0
45.95107730,6.196317000,698.40002
45.95111540,6.196339400,698.79998
45.95115400,6.196360700,699.20001
45.95119090,6.196383200,699.59997
45.95140120,6.196499500,699.59997
45.95146990,6.196538700,700.0
45.95150330,6.196558700,700.40002
45.95153640,6.196581900,700.79998
45.95156960,6.196606500,701.20001
45.95160480,6.196625800,701.59997
45.95163750,6.196647300,701.59997
45.95190010,6.196815300,701.59997
45.95199770,6.196897300,702.0
45.95203320,6.196922900,702.40002
45.95206860,6.196951600,702.79998
45.95210250,6.196984000,703.40002
45.95213420,6.197015000,703.79998
45.95238650,6.197252100,703.79998
45.95259690,6.197477700,704.20001
45.95262200,6.197515700,704.59997
45.95264600,6.197553500,705.0
45.95266900,6.197591000,705.40002
45.95269460,6.197627900,705.79998
45.95278740,6.197783600,705.79998
45.95295110,6.198126000,706.20001
45.95296660,6.198169900,706.59997
45.95298240,6.198214200,707.0
45.95299920,6.198257100,707.40002
45.95301790,6.198295900,707.79998
45.95304690,6.198377800,707.79998
45.95314910,6.198659400,708.20001
45.95316100,6.198696400,708.59997
45.95317530,6.198736600,709.0
45.95318990,6.198770600,709.40002
45.95320480,6.198799800,709.79998
45.95323430,6.198900000,709.79998
45.95330700,6.199089800,710.20001
45.95332340,6.199127300,710.59997
45.95333840,6.199164900,711.0
45.95334840,6.199203900,711.59997
45.95336240,6.199240100,712.0
45.95341680,6.199380600,712.0
45.95345070,6.199444800,712.40002
45.95346430,6.199480500,712.79998
45.95347650,6.199515200,713.20001
45.95349100,6.199551600,713.59997
45.95350180,6.199586400,714.0
45.95356320,6.199744800,714.0
45.95359140,6.199809500,714.40002
45.95360280,6.199838000,715.20001
45.95361380,6.199869200,715.59997
45.95362050,6.199896900,716.0
45.95363070,6.199929200,716.0
45.95371830,6.200153800,716.40002
45.95372980,6.200184600,716.79998
45.95374110,6.200213300,717.20001
45.95375100,6.200243800,717.59997
45.95376540,6.200275700,718.20001
45.95382180,6.200433400,718.20001
45.95386540,6.200548500,718.59997
45.95387690,6.200578700,719.0
45.95388690,6.200612600,719.79998
45.95390080,6.200647800,720.20001
45.95398780,6.200877100,720.20001
45.95402410,6.200975700,720.59997
45.95403610,6.201009400,721.0
45.95404570,6.201045400,721.40002
45.95405560,6.201078500,721.79998
45.95406860,6.201107200,722.40002
45.95411790,6.201266700,722.40002
45.95413700,6.201336700,722.79998
45.95414990,6.201371400,723.20001
