Latitude,Longitude,Elevation
46.33711054,6.518420250,651.0
46.33725417,6.518577078,650.0
46.33738808,6.518750264,650.0
46.33751103,6.518940226,650.0
46.33762999,6.519135620,651.0
46.33774836,6.519331782,651.0
46.33786526,6.519529765,651.0
46.33795902,6.519750113,651.0
46.33800115,6.519999465,653.0
46.33801315,6.520259267,654.0
46.33799121,6.520515795,656.0
46.33791381,6.520746440,657.0
46.33779862,6.520945304,658.0
46.33765955,6.521108606,659.0
46.33751642,6.521266183,659.0
46.33736489,6.521404853,661.0
46.33720712,6.521529947,663.0
46.33706959,6.521693812,665.0
46.33695867,6.521897773,668.0
46.33683469,6.522083857,672.0
46.33667414,6.522096257,675.0
46.33657855,6.521899527,677.0
46.33654712,6.521645053,675.0
46.33656095,6.521386700,672.0
46.33658400,6.521128336,669.0
46.33662535,6.520875257,666.0
46.33663290,6.520616849,665.0
46.33659417,6.520363891,664.0
46.33651602,6.520130485,663.0
46.33641796,6.519912350,662.0
46.33626977,6.519774046,662.0
46.33609754,6.519819616,662.0
46.33593337,6.519925125,662.0
46.33576707,6.520024283,663.0
46.33560104,6.520124496,665.0
46.33543788,6.520234091,668.0
46.33529231,6.520386228,670.0
46.33518601,6.520595111,672.0
46.33508775,6.520813295,675.0
46.33495798,6.520992894,680.0
46.33479926,6.521114155,685.0
46.33462056,6.521130511,686.0
46.33444981,6.521049410,686.0
46.33427399,6.520995168,687.0
46.33409864,6.521052261,690.0
46.33393583,6.521162983,693.0
46.33377556,6.521280984,696.0
46.33363000,6.521433993,699.0
46.33348468,6.521585124,700.0
46.33330744,6.521602469,701.0
46.33313905,6.521510915,705.0
46.33297392,6.521409306,709.0
46.33282701,6.521259892,712.0
46.33270381,6.521072871,715.0
46.33262830,6.520837299,717.0
46.33256832,6.520593443,717.0
46.33247432,6.520371403,719.0
46.33239003,6.520141730,720.0
46.33233607,6.519896154,721.0
46.33232940,6.519635839,723.0
46.33229312,6.519393902,725.0
46.33215050,6.519267554,729.0
46.33197358,6.519298513,731.0
46.33180471,6.519387661,734.0
46.33164223,6.519498592,736.0
46.33148370,6.519621229,738.0
46.33132583,6.519743816,741.0
46.33117999,6.519896265,743.0
46.33102435,6.519972791,745.0
46.33086928,6.519859536,749.0
46.33075707,6.519657779,752.0
46.33067976,6.519424710,755.0
46.33064952,6.519171048,757.0
46.33068574,6.518922442,760.0
46.33077535,6.518697054,761.0
46.33087548,6.518480664,761.0
46.33097697,6.518265618,762.0
46.33108600,6.518058859,765.0
46.33120651,6.517865607,766.0
46.33132587,6.517671129,768.0
46.33143176,6.517460939,769.0
46.33150166,6.517226310,770.0
46.33148785,6.516976335,773.0
46.33140976,6.516742696,776.0
46.33130763,6.516529022,778.0
46.33120126,6.516319318,779.0
46.33110235,6.516101754,780.0
46.33097213,6.515934657,780.0
46.33080446,6.515845555,780.0
46.33063194,6.515772675,781.0
46.33046527,6.515675786,781.0
46.33029854,6.515578791,781.0
46.33013319,6.515477313,781.0
46.32997023,6.515367112,780.0
46.32980360,6.515269505,781.0
