Latitude,Longitude,Elevation
45.91889000,6.669010000,561.0
45.91887000,6.669040000,561.0
45.91886000,6.669070000,561.0
45.91886000,6.669100000,561.0
45.91884000,6.669130000,561.0
45.91883000,6.669170000,561.0
45.91882000,6.669200000,561.0
45.91882000,6.669240000,561.0
45.91881000,6.669260000,561.0
45.91880000,6.669290000,561.0
45.91879000,6.669310000,561.0
45.91878000,6.669330000,561.0
45.91877000,6.669350000,561.0
45.91876000,6.669390000,561.0
45.91876000,6.669420000,561.0
45.91875000,6.669440000,561.0
45.91875000,6.669470000,561.0
45.91873000,6.669510000,557.0
45.91872000,6.669540000,557.0
45.91871000,6.669580000,557.0
45.91870000,6.669610000,558.0
45.91870000,6.669640000,558.0
45.91869000,6.669680000,558.0
45.91868000,6.669710000,558.0
45.91867000,6.669740000,558.0
45.91866000,6.669780000,558.0
45.91865000,6.669810000,558.0
45.91865000,6.669830000,558.0
45.91864000,6.669860000,558.0
45.91864000,6.669900000,558.0
45.91863000,6.669930000,558.0
45.91863000,6.669960000,558.0
45.91862000,6.670000000,558.0
45.91861000,6.670030000,558.0
45.91861000,6.670060000,558.0
45.91861000,6.670090000,558.0
45.91860000,6.670130000,558.0
45.91860000,6.670170000,558.0
45.91860000,6.670200000,558.0
45.91860000,6.670230000,558.0
45.91860000,6.670260000,558.0
45.91860000,6.670290000,558.0
45.91861000,6.670330000,558.0
45.91862000,6.670360000,558.0
45.91862000,6.670400000,558.0
45.91862000,6.670440000,559.0
45.91862000,6.670470000,559.0
45.91863000,6.670500000,559.0
45.91864000,6.670540000,559.0
45.91864000,6.670580000,559.0
45.91865000,6.670620000,559.0
45.91866000,6.670640000,559.0
45.91866000,6.670680000,559.0
45.91868000,6.670700000,559.0
45.91869000,6.670730000,559.0
45.91870000,6.670770000,559.0
45.91871000,6.670800000,559.0
45.91872000,6.670830000,559.0
45.91874000,6.670860000,559.0
45.91875000,6.670900000,560.0
45.91876000,6.670930000,560.0
45.91877000,6.670960000,560.0
45.91879000,6.670990000,560.0
45.91881000,6.671020000,560.0
